history_window_ka,dataset_id,dataset_label,n_bins,n_events,baseline_AICc,full_AICc,full_delta_AICc_ranked_within_window,full_rank_AICc,phase_after_adjusted_climate_LR,phase_after_adjusted_climate_p,phase_after_adjusted_climate_delta_AICc,phase_after_adjusted_climate_bits_per_event,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min
1.0,strong_monsoon_start,Strong monsoon starts,3195,96,848.901211744259,824.0178885996979,1.807569563375523,2.0,18.862947815465304,8.016096295945254e-05,-14.846619723419167,0.14173688161416198,8.018068601721861,3.7200966781933977
1.0,weak_monsoon_start,Weak monsoon starts,3195,99,876.4471870465638,843.3206701822282,1.7637168387518614,2.0,14.332316758355319,0.0007722838615787828,-10.315988666309181,0.10443011268550001,238.32137013099572,3.0249507874500647
2.0,strong_monsoon_start,Strong monsoon starts,3190,95,842.5415810230141,815.036586577854,1.6554232834911318,2.0,21.451973333358865,2.1966616987886816e-05,-17.435619565777984,0.16288766076483746,7.292115681295862,4.158671633053376
2.0,weak_monsoon_start,Weak monsoon starts,3190,99,879.8305389431608,845.4649625592584,1.7291199647310123,2.0,15.493704324179816,0.0004321005846042478,-11.477350556598935,0.11289237572471773,237.4172228443731,3.2185956794218495
5.0,strong_monsoon_start,Strong monsoon starts,3175,95,846.1449546831786,820.6893745962981,1.0642774732037878,2.0,19.750400362337928,5.1434562918147624e-05,-15.733969081367036,0.14996739293850797,2.011557064601044,4.0271345327385895
5.0,weak_monsoon_start,Weak monsoon starts,3175,98,871.4423388728903,843.1834016119691,1.8208950904156609,2.0,14.593876208545566,0.0006776103743750483,-10.577444927574675,0.10742098384395977,232.78133168054615,3.2206759534004656
10.0,strong_monsoon_start,Strong monsoon starts,3150,93,830.3744615140826,809.0177124057612,1.093927194512844,2.0,17.532744642453736,0.00015588806797566643,-13.516182526623425,0.13599141800451908,1.9445565947612728,3.675615488181618
10.0,weak_monsoon_start,Weak monsoon starts,3150,97,861.7705474722505,835.8348329159431,1.768280265307908,2.0,12.35659562049807,0.002073955116897701,-8.340033504667758,0.09189071764929303,227.6533978837809,2.8290446301684806
